episode,avg_reward,episode_length,high_priority_success,uav0_dist,uav1_dist,uav2_dist,uav3_dist,coll_uav_uav,coll_uav_obs,coll_uav_other_task,uav0_finish,uav1_finish,uav2_finish,uav3_finish
189,-88.28800964355469,300,0.5,12.512763023376465,0.10905307531356812,14.515365600585938,3.4488322734832764,0,11,0,-1,300,-1,300
190,-79.05018615722656,300,0.5,13.248285293579102,17.794710159301758,3.056858777999878,19.366308212280273,0,0,0,300,-1,300,-1
191,-131.12017822265625,300,0.5,7.1203131675720215,11.398990631103516,19.48318099975586,15.36308479309082,0,3,0,300,300,-1,-1
192,-99.02194213867188,300,0.25,9.073296546936035,17.11783790588379,16.75673484802246,20.04446029663086,1,9,6,140,-1,-1,-1
193,-100.51399230957031,300,0.5,20.746206283569336,2.1534368991851807,14.639089584350586,17.992774963378906,0,9,1,-1,300,300,-1
194,-189.2686767578125,300,0.0,16.693706512451172,18.4049072265625,19.11952018737793,15.899919509887695,0,13,0,-1,-1,-1,-1
195,-234.68515014648438,300,0.0,17.61783790588379,19.803808212280273,17.69975471496582,16.678194046020508,1,20,16,-1,-1,-1,-1
196,-127.68292236328125,300,0.25,20.01209259033203,18.443225860595703,16.8791446685791,1.7947242259979248,0,41,0,-1,-1,-1,300
197,-98.572021484375,300,0.5,6.598264694213867,3.0443646907806396,18.10458755493164,17.78144645690918,0,1,7,300,300,-1,-1
198,-65.1465835571289,300,0.75,10.598101615905762,4.033298492431641,16.491289138793945,0.08209101855754852,0,9,0,300,300,-1,300
199,-202.50079345703125,300,0.25,18.131053924560547,19.578054428100586,3.339845895767212,16.60783576965332,0,0,38,-1,-1,300,-1
200,-125.27185821533203,300,0.0,16.11668586730957,15.972508430480957,19.79130744934082,19.672203063964844,0,6,0,-1,-1,-1,-1
